sample_identifier;collection_id;sample_type_id;sample_status_id;country_code;country_origin_code;referent_id;sampling_date;sample_multiple_value;sample_parent_identifier;container_parent_identifier;md_taxon;md_longueur;md_riviere;md_num_individu;uuid
T93681-MON;1;2;1;FR;FR;1;10/09/1998;;T93681;BOITE;TRF;144;Dranse;T198;4a15ff4a-0261-5211-bd80-933e43fd389c
T93682-MON;1;2;1;FR;FR;1;10/09/1998;;T93682;BOITE;TRF;207;Dranse;T199;03a38670-772d-572b-8120-96e2610b8349
T93683-MON;1;2;1;FR;FR;1;10/09/1998;;T93683;BOITE;TRF;145;Dranse;T200;5d412d47-c3c5-5422-b650-2fa92d275f32
T93684-MON;1;2;1;FR;FR;1;10/09/1998;;T93684;BOITE;TRF;192;Dranse;T201;6b65b96a-36d5-56bb-8f2c-963e36ba332e
T93685-MON;1;2;1;FR;FR;1;10/09/1998;;T93685;BOITE;TRF;235;Dranse;T202;50d941af-87c6-51f8-acf1-18612c32ee77
T93686-MON;1;2;1;FR;FR;1;10/09/1998;;T93686;BOITE;TRF;166;Dranse;T203;b1e0e1e1-e946-5c0c-b2cd-0815f1346a76
T93687-MON;1;2;1;FR;FR;1;10/09/1998;;T93687;BOITE;TRF;152;Dranse;T204;02044be5-02f5-5772-9060-98c45bbba382
T93688-MON;1;2;1;FR;FR;1;10/09/1998;;T93688;BOITE;TRF;166;Dranse;T205;bd0a2312-c8e8-5b59-8c77-de4a90268e8f
T93689-MON;1;2;1;FR;FR;1;10/09/1998;;T93689;BOITE;TRF;128;Dranse;T206;893a4edf-e3da-54b3-8ba4-0bdf30fd0fe4
T93690-MON;1;2;1;FR;FR;1;10/09/1998;;T93690;BOITE;TRF;156;Dranse;T207;cf8efb11-82b7-537a-a3f3-5a9b04fa70fb
T93691-MON;1;2;1;FR;FR;1;10/09/1998;;T93691;BOITE;TRF;131;Dranse;T208;5c874ddb-0ba2-543f-b697-499202d07e78
T93692-MON;1;2;1;FR;FR;1;10/09/1998;;T93692;BOITE;TRF;110;Dranse;T209;669a8443-bb67-5e4c-86bf-11cdde913df8
T93693-MON;1;2;1;FR;FR;1;10/09/1998;;T93693;BOITE;TRF;76;Dranse;T210;10ecc840-e31b-558f-8fa0-a319a881eb76
T93694-MON;1;2;1;FR;FR;1;10/09/1998;;T93694;BOITE;TRF;100;Dranse;T211;9092ad5f-b63c-5da3-9f33-3a8d7cc557e5
T93695-MON;1;2;1;FR;FR;1;10/09/1998;;;BOITE;TRF;66;Dranse;T212;fa24b09f-1b9b-5a5d-b28a-bb159a51202a
T93696-MON;1;2;1;FR;FR;1;10/09/1998;;T93696;BOITE;TRF;250;Dranse;T214;a02062a3-3844-59c5-96bd-68bd774131d8
T93697-MON;1;2;1;FR;FR;1;10/09/1998;;T93697;BOITE;TRF;340;Dranse;T215;4449ebc2-6826-52ea-aa0f-87a2c8e2ed98
T93698-MON;1;2;1;FR;FR;1;10/09/1998;;T93698;BOITE;TRF;212;Dranse;T216;42969190-e446-5c87-a672-1aaf04848bf0
T93699-MON;1;2;1;FR;FR;1;10/09/1998;;T93699;BOITE;TRF;237;Dranse;T217;89dfa2b5-643a-5cbf-b8be-b59fb961efa5
T93700-MON;1;2;1;FR;FR;1;10/09/1998;;T93700;BOITE;TRF;223;Dranse;T218;5ca43614-425c-5294-bc5e-fb6235d2e6e5
T93701-MON;1;2;1;FR;FR;1;10/09/1998;;T93701;BOITE;TRF;204;Dranse;T219;3f10ad19-c31f-588c-9aef-c7baecc443d0
T93702-MON;1;2;1;FR;FR;1;10/09/1998;;T93702;BOITE;TRF;271;Dranse;T220;60964c4e-b752-5a13-92d9-a8458577866d
T93703-MON;1;2;1;FR;FR;1;10/09/1998;;T93703;BOITE;TRF;152;Dranse;T221;f10be00d-9190-5e8d-b15b-5cd2de0cb674
T93704-MON;1;2;1;FR;FR;1;18/09/1998;;T93704;BOITE;TRF;172;Dranse;T509;0071db17-23c6-5e14-9208-74145563b3cb
T93705-MON;1;2;1;FR;FR;1;18/09/1998;;T93705;BOITE;TRF;151;Dranse;T510;d7f92c35-6fb7-5c06-a0f0-873074be61f0
T93706-MON;1;2;1;FR;FR;1;18/09/1998;;T93706;BOITE;TRF;141;Dranse;T511;37e6b4e5-73d5-5ab2-8877-1651defd6fa8
T93707-MON;1;2;1;FR;FR;1;18/09/1998;;T93707;BOITE;TRF;167;Dranse;T512;6ead2a41-f900-5c06-b4db-4e514ba95680
T93708-MON;1;2;1;FR;FR;1;18/09/1998;;T93708;BOITE;TRF;146;Dranse;T513;7ee8be42-7921-5c7c-97c0-0a42563508b3
T93709-MON;1;2;1;FR;FR;1;18/09/1998;;T93709;BOITE;TRF;136;Dranse;T514;a17edd8f-3ef0-5b9b-ac0f-8a005c17ca5d
T93710-MON;1;2;1;FR;FR;1;18/09/1998;;T93710;BOITE;TRF;135;Dranse;T515;8417d87e-0799-5e54-8587-85f879aa16f2
T93711-MON;1;2;1;FR;FR;1;18/09/1998;;T93711;BOITE;TRF;132;Dranse;T516;d713a4bd-b3bd-570a-8b3d-4f6d7dffa5ba
T93712-MON;1;2;1;FR;FR;1;18/09/1998;;T93712;BOITE;TRF;93;Dranse;T517;b92ad90c-d9a5-5d19-896a-c2d447d0f8ac
T93713-MON;1;2;1;FR;FR;1;18/09/1998;;T93713;BOITE;TRF;130;Dranse;T518;01370759-2bdb-58ff-a74f-7322e68e377a
T93714-MON;1;2;1;FR;FR;1;18/09/1998;;T93714;BOITE;TRF;110;Dranse;T520;adeff476-76ae-590c-bc45-682c55d0ad15
T93715-MON;1;2;1;FR;FR;1;18/09/1998;;T93715;BOITE;TRF;90;Dranse;T521;3c4d5bd3-d618-57e9-b011-5caea186781a
T93716-MON;1;2;1;FR;FR;1;18/09/1998;;T93716;BOITE;TRF;100;Dranse;T523;d069ea52-5a8c-5cf4-9aa1-3ab95360a269
T93717-MON;1;2;1;FR;FR;1;18/09/1998;;T93717;BOITE;TRF;103;Dranse;T525;c3799dfa-14fd-5233-b5e6-6ec7c391b2c3
T93718-MON;1;2;1;FR;FR;1;18/09/1998;;T93718;BOITE;TRF;92;Dranse;T526;94915652-4f34-57e5-9be2-1f69ed95e6fb
T93719-MON;1;2;1;FR;FR;1;18/09/1998;;T93719;BOITE;TRF;85;Dranse;T527;83f50e2c-275b-5980-8a64-5c8d2e45c0c7
T93720-MON;1;2;1;FR;FR;1;18/09/1998;;T93720;BOITE;TRF;101;Dranse;T528;0d47bc3e-344a-50c5-a242-d823402433fd
T93721-MON;1;2;1;FR;FR;1;18/09/1998;;T93721;BOITE;TRF;107;Dranse;T529;1a9713dd-b4b8-5c92-9c09-37f0c87e3cbe
